变量,滞后步数,滞后秒数,相关系数,绝对相关系数
1#风箱负压,0,0,-0.08309861340080721,0.08309861340080721
1#风箱负压,1,2,-0.09125975106182051,0.09125975106182051
1#风箱负压,2,4,-0.09382386400919106,0.09382386400919106
1#风箱负压,3,6,-0.08752629194640721,0.08752629194640721
1#风箱负压,4,8,-0.07272773780020692,0.07272773780020692
1#风箱负压,5,10,-0.05201358581573383,0.05201358581573383
1#风箱负压,6,12,-0.029064671652472947,0.029064671652472947
1#风箱负压,7,14,-0.01249355959987623,0.01249355959987623
1#风箱负压,8,16,0.0017031811016809107,0.0017031811016809107
1#风箱负压,9,18,0.009419710229675226,0.009419710229675226
1#风箱负压,10,20,0.014497546902485194,0.014497546902485194
1#风箱负压,11,22,0.019113018327284348,0.019113018327284348
1#风箱负压,12,24,0.025756506777688495,0.025756506777688495
1#风箱负压,13,26,0.03125713911856724,0.03125713911856724
1#风箱负压,14,28,0.03290658002871396,0.03290658002871396
1#风箱负压,15,30,0.02632854147615294,0.02632854147615294
1#风箱负压,16,32,0.015812175139463563,0.015812175139463563
1#风箱负压,17,34,-0.0010552296993790093,0.0010552296993790093
1#风箱负压,18,36,-0.020728441687899654,0.020728441687899654
1#风箱负压,19,38,-0.03657707817906223,0.03657707817906223
1#风箱负压,20,40,-0.04510921432111019,0.04510921432111019
1#风箱负压,21,42,-0.039050193347203443,0.039050193347203443
1#风箱负压,22,44,-0.028216545833158063,0.028216545833158063
1#风箱负压,23,46,-0.009094455822638386,0.009094455822638386
1#风箱负压,24,48,0.004626731892071443,0.004626731892071443
1#风箱负压,25,50,0.010527011109236923,0.010527011109236923
1#风箱负压,26,52,0.01611224259146495,0.01611224259146495
1#风箱负压,27,54,0.013210458956026074,0.013210458956026074
1#风箱负压,28,56,0.021544000441841245,0.021544000441841245
1#风箱负压,29,58,0.028524200313534073,0.028524200313534073
1#风箱负压,30,60,0.02426117810035389,0.02426117810035389
1#风箱负压,31,62,0.02144431089916257,0.02144431089916257
1#风箱负压,32,64,0.018086619244773266,0.018086619244773266
1#风箱负压,33,66,0.01537444028436875,0.01537444028436875
1#风箱负压,34,68,0.017860362712188133,0.017860362712188133
1#风箱负压,35,70,0.020082679528315894,0.020082679528315894
1#风箱负压,36,72,0.022374688488170966,0.022374688488170966
1#风箱负压,37,74,0.02717630709266719,0.02717630709266719
1#风箱负压,38,76,0.031800099112999795,0.031800099112999795
1#风箱负压,39,78,0.0380976037644878,0.0380976037644878
1#风箱负压,40,80,0.04806900460470121,0.04806900460470121
1#风箱负压,41,82,0.05201493262379076,0.05201493262379076
1#风箱负压,42,84,0.04864212874517971,0.04864212874517971
1#风箱负压,43,86,0.04290977444646908,0.04290977444646908
1#风箱负压,44,88,0.034295454680486996,0.034295454680486996
1#风箱负压,45,90,0.030824447306186428,0.030824447306186428
1#风箱负压,46,92,0.02643473648355446,0.02643473648355446
1#风箱负压,47,94,0.027524962441716892,0.027524962441716892
1#风箱负压,48,96,0.0329741833630935,0.0329741833630935
1#风箱负压,49,98,0.03284452125170982,0.03284452125170982
1#风箱负压,50,100,0.03381690429022972,0.03381690429022972
1#风箱负压,51,102,0.03396354830333791,0.03396354830333791
1#风箱负压,52,104,0.028583207816227748,0.028583207816227748
1#风箱负压,53,106,0.022762134321170167,0.022762134321170167
1#风箱负压,54,108,0.018369397108224002,0.018369397108224002
1#风箱负压,55,110,0.01365104963921415,0.01365104963921415
1#风箱负压,56,112,0.005363075847094891,0.005363075847094891
1#风箱负压,57,114,-0.0013959967857059532,0.0013959967857059532
1#风箱负压,58,116,-0.005747152635266684,0.005747152635266684
1#风箱负压,59,118,-0.0063520786804077784,0.0063520786804077784
1#风箱负压,60,120,-0.005861393053897585,0.005861393053897585
1#风箱负压,61,122,-0.0030521895767993794,0.0030521895767993794
1#风箱负压,62,124,0.0011253784530844799,0.0011253784530844799
1#风箱负压,63,126,0.0011981953065457595,0.0011981953065457595
1#风箱负压,64,128,0.0032617960039601386,0.0032617960039601386
1#风箱负压,65,130,0.00909946192256025,0.00909946192256025
1#风箱负压,66,132,0.007987893255296887,0.007987893255296887
1#风箱负压,67,134,0.0028961635245716498,0.0028961635245716498
1#风箱负压,68,136,-0.0016562025086574376,0.0016562025086574376
1#风箱负压,69,138,-0.006261837812178841,0.006261837812178841
1#风箱负压,70,140,-0.010586473659164753,0.010586473659164753
1#风箱负压,71,142,-0.010920482256147574,0.010920482256147574
1#风箱负压,72,144,-0.007441656704418187,0.007441656704418187
1#风箱负压,73,146,-0.001390305127153117,0.001390305127153117
1#风箱负压,74,148,0.0015828538512349063,0.0015828538512349063
1#风箱负压,75,150,0.0034394859022394025,0.0034394859022394025
1#风箱负压,76,152,0.0025725631735837484,0.0025725631735837484
1#风箱负压,77,154,-0.0013300075233119823,0.0013300075233119823
1#风箱负压,78,156,-0.008371722557113668,0.008371722557113668
1#风箱负压,79,158,-0.016655413099997806,0.016655413099997806
1#风箱负压,80,160,-0.01970782007046228,0.01970782007046228
