变量,滞后步数,滞后秒数,相关系数,绝对相关系数
4#风箱平均温度,14,28,0.25293152440819117,0.25293152440819117
7#风箱平均温度,10,20,0.2515239513024544,0.2515239513024544
14#风箱平均温度,0,0,-0.24555331409684575,0.24555331409684575
6#风箱平均温度,3,6,0.24486311378060693,0.24486311378060693
3#风箱平均温度,16,32,0.23592434071752003,0.23592434071752003
2#风箱平均温度,17,34,0.2357386556107394,0.2357386556107394
10#风箱负压,1,2,-0.23015572510281246,0.23015572510281246
11#风箱负压,1,2,-0.23015572510281246,0.23015572510281246
13#风箱负压,1,2,-0.22549913890004822,0.22549913890004822
12#风箱负压,1,2,-0.22549913890004822,0.22549913890004822
13#风箱平均温度,1,2,-0.2244228759079653,0.2244228759079653
15#风箱平均温度,0,0,-0.2235851034752064,0.2235851034752064
8#风箱平均温度,9,18,0.21762877834638866,0.21762877834638866
1#大烟道负压,1,2,-0.21040352431895828,0.21040352431895828
6#风箱负压,0,0,-0.20792129664363138,0.20792129664363138
7#风箱负压,0,0,-0.20792129664363138,0.20792129664363138
9#风箱负压,0,0,-0.203870529304796,0.203870529304796
8#风箱负压,0,0,-0.203870529304796,0.203870529304796
9#风箱平均温度,22,44,0.1989889036858976,0.1989889036858976
2#大烟道负压,1,2,-0.19537883986325774,0.19537883986325774
14#风箱负压,1,2,-0.19252971600324542,0.19252971600324542
15#风箱负压,1,2,-0.19252971600324542,0.19252971600324542
16#风箱平均温度,0,0,-0.1709989750691138,0.1709989750691138
1#风箱平均温度,20,40,0.1687529483460779,0.1687529483460779
12#风箱平均温度,3,6,-0.15946836584041826,0.15946836584041826
1#大烟道温度,0,0,-0.1573279378770078,0.1573279378770078
10#风箱平均温度,22,44,0.14981688726711198,0.14981688726711198
18#风箱平均温度,16,32,0.12581974642758478,0.12581974642758478
11#风箱平均温度,50,100,0.1205164695387185,0.1205164695387185
18#风箱负压,58,116,0.11792138431260869,0.11792138431260869
17#风箱负压,58,116,0.11765395601184894,0.11765395601184894
2#大烟道温度,3,6,-0.11151812104096673,0.11151812104096673
16#风箱负压,58,116,0.1095033997016824,0.1095033997016824
2#风箱负压,2,4,-0.10206015883141319,0.10206015883141319
烧结机机速L1设定,80,160,-0.09930775508544074,0.09930775508544074
1#风箱负压,2,4,-0.09382386400919106,0.09382386400919106
17#风箱平均温度,53,106,0.0933869522303742,0.0933869522303742
4#风箱负压,27,54,-0.08809179053523643,0.08809179053523643
5#风箱负压,27,54,-0.08809179053523643,0.08809179053523643
3#风箱负压,27,54,-0.08276303668192526,0.08276303668192526
5#风箱平均温度,13,26,0.07225333487476458,0.07225333487476458
