task,target,model,n_train,n_test,mae,rmse,r2
问题一_空间时滞温度预测,1#风箱平均温度,local_lag_Ridge,1937,485,3.3855827737029913,6.1246916217859475,0.07100677855564297
问题一_空间时滞温度预测,1#风箱平均温度,local_lag_GradientBoosting,1937,485,3.804721407554275,6.431976194739621,-0.02454950575298165
问题一_空间时滞温度预测,1#风箱平均温度,local_lag_RandomForest,1937,485,3.7783372546816523,6.6006158052076955,-0.07897902283896041
问题一_空间时滞温度预测,1#风箱平均温度,neighbor_lag_Ridge,1937,485,3.4159850025935374,6.279263217371943,0.02352423691632266
问题一_空间时滞温度预测,1#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,3.87405437440677,6.3499697410788025,0.0014095624245898941
问题一_空间时滞温度预测,1#风箱平均温度,neighbor_lag_RandomForest,1937,485,3.9013426495487478,6.581257080240934,-0.07265930104113094
问题一_空间时滞温度预测,1#风箱平均温度,global_lag_Ridge,1937,485,4.577902883266484,7.88945149220366,-0.5414793526658153
问题一_空间时滞温度预测,1#风箱平均温度,global_lag_GradientBoosting,1937,485,3.672939297076752,6.276863810686557,0.02427034828362562
问题一_空间时滞温度预测,1#风箱平均温度,global_lag_RandomForest,1937,485,3.9253274986861872,6.749459354451114,-0.12818952758388757
问题一_空间时滞温度预测,1#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.8499889458213838,3.474435285022883,0.7010403714866495
问题一_空间时滞温度预测,1#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,1.0693938672623733,4.367226087630374,0.5276592199146181
问题一_空间时滞温度预测,1#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,1.053354780813521,4.544592140734314,0.48851380388847443
问题一_空间时滞温度预测,2#风箱平均温度,local_lag_Ridge,1937,485,3.7970173789768045,5.035313284415445,-0.5020133764952335
问题一_空间时滞温度预测,2#风箱平均温度,local_lag_GradientBoosting,1937,485,4.177104107096902,5.583291081633321,-0.846721255077598
问题一_空间时滞温度预测,2#风箱平均温度,local_lag_RandomForest,1937,485,4.22401157170933,5.639849742035276,-0.8843252802244164
问题一_空间时滞温度预测,2#风箱平均温度,neighbor_lag_Ridge,1937,485,3.8758256390382213,5.165342825764091,-0.5805895624997615
问题一_空间时滞温度预测,2#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,4.194235903837979,5.5670498755832885,-0.8359930459366685
问题一_空间时滞温度预测,2#风箱平均温度,neighbor_lag_RandomForest,1937,485,4.216074633871241,5.47117368852817,-0.7732983576519723
问题一_空间时滞温度预测,2#风箱平均温度,global_lag_Ridge,1937,485,4.285431951005643,5.565321493608509,-0.8348531945768916
问题一_空间时滞温度预测,2#风箱平均温度,global_lag_GradientBoosting,1937,485,3.823018330672438,5.224804123922781,-0.6171892084234478
问题一_空间时滞温度预测,2#风箱平均温度,global_lag_RandomForest,1937,485,4.034763396316796,5.382606019852508,-0.7163505481773427
问题一_空间时滞温度预测,2#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.5554757130874424,1.2775430700337684,0.9033121488030837
问题一_空间时滞温度预测,2#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.7542628488037078,1.9215395880738024,0.7812643957471165
问题一_空间时滞温度预测,2#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.7387354068733946,1.9170570561971925,0.7822837301298707
问题一_空间时滞温度预测,3#风箱平均温度,local_lag_Ridge,1937,485,3.4624714872612645,4.066787077748013,-2.17251234751427
问题一_空间时滞温度预测,3#风箱平均温度,local_lag_GradientBoosting,1937,485,3.2216705899738223,4.007260648740315,-2.080318573502565
问题一_空间时滞温度预测,3#风箱平均温度,local_lag_RandomForest,1937,485,3.309037537000917,4.102833330599514,-2.2290011611722504
问题一_空间时滞温度预测,3#风箱平均温度,neighbor_lag_Ridge,1937,485,3.4172586208710114,4.042664703491055,-2.1349880994524013
问题一_空间时滞温度预测,3#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,3.622462312949785,4.491183852438582,-2.86920837284215
问题一_空间时滞温度预测,3#风箱平均温度,neighbor_lag_RandomForest,1937,485,3.5509285307612277,4.398163228062899,-2.710591433738987
问题一_空间时滞温度预测,3#风箱平均温度,global_lag_Ridge,1937,485,3.6148859255867363,4.241195173568055,-2.4504597705054842
问题一_空间时滞温度预测,3#风箱平均温度,global_lag_GradientBoosting,1937,485,3.3684487839139656,4.016726440962139,-2.09488817387631
问题一_空间时滞温度预测,3#风箱平均温度,global_lag_RandomForest,1937,485,3.423537607187163,4.100950173391412,-2.226037686505189
问题一_空间时滞温度预测,3#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.3694728921773024,0.5892142350892434,0.9334041889458204
问题一_空间时滞温度预测,3#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.5875764449066952,0.961627645666294,0.8226160458142611
问题一_空间时滞温度预测,3#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.5741418758010564,0.9589243410104513,0.823611959065643
问题一_空间时滞温度预测,4#风箱平均温度,local_lag_Ridge,1937,485,2.76049547506432,3.373915363474483,-1.2451228625152293
问题一_空间时滞温度预测,4#风箱平均温度,local_lag_GradientBoosting,1937,485,2.7003772477826864,3.4643770798916727,-1.3671297191377167
问题一_空间时滞温度预测,4#风箱平均温度,local_lag_RandomForest,1937,485,2.721722889206634,3.4333030169463687,-1.324855768649713
问题一_空间时滞温度预测,4#风箱平均温度,neighbor_lag_Ridge,1937,485,2.7729678615798106,3.371607927768898,-1.2420530136168506
问题一_空间时滞温度预测,4#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,2.9141740934902236,3.654692705164141,-1.6343500152774642
问题一_空间时滞温度预测,4#风箱平均温度,neighbor_lag_RandomForest,1937,485,3.0261705179009444,3.764966469718879,-1.7957219113187786
问题一_空间时滞温度预测,4#风箱平均温度,global_lag_Ridge,1937,485,3.055400293841998,3.886490911339808,-1.9791135547879577
问题一_空间时滞温度预测,4#风箱平均温度,global_lag_GradientBoosting,1937,485,2.770865828875691,3.359344547680861,-1.2257728615286565
问题一_空间时滞温度预测,4#风箱平均温度,global_lag_RandomForest,1937,485,2.8894828097442185,3.5177929326162065,-1.4406881285873552
问题一_空间时滞温度预测,4#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.3454687278622393,0.6425404883240068,0.9185721922370953
问题一_空间时滞温度预测,4#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.5187683312334501,0.9302778557144997,0.8293143104549645
问题一_空间时滞温度预测,4#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.5191057003754566,0.9309465239032999,0.8290688502232684
问题一_空间时滞温度预测,5#风箱平均温度,local_lag_Ridge,1937,485,9.215962977374923,11.511932773013855,-1.2564596546318296
问题一_空间时滞温度预测,5#风箱平均温度,local_lag_GradientBoosting,1937,485,8.712512267875802,11.071854972541548,-1.0872374580855841
问题一_空间时滞温度预测,5#风箱平均温度,local_lag_RandomForest,1937,485,9.038632574271409,11.820115399499498,-1.378890852820215
问题一_空间时滞温度预测,5#风箱平均温度,neighbor_lag_Ridge,1937,485,10.748075532178598,14.717225920220653,-2.687932780182841
问题一_空间时滞温度预测,5#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,7.5654835768915945,9.860991306165124,-0.6556641116356083
问题一_空间时滞温度预测,5#风箱平均温度,neighbor_lag_RandomForest,1937,485,7.9061310105402995,10.113268980658066,-0.7414627917968459
问题一_空间时滞温度预测,5#风箱平均温度,global_lag_Ridge,1937,485,11.2109654877166,17.432252501827197,-4.174139089650769
问题一_空间时滞温度预测,5#风箱平均温度,global_lag_GradientBoosting,1937,485,6.311112725337406,8.134697725449014,-0.1267146021526977
问题一_空间时滞温度预测,5#风箱平均温度,global_lag_RandomForest,1937,485,7.007744070649651,9.042581408829223,-0.39224586888297774
问题一_空间时滞温度预测,5#风箱平均温度,state_neighbor_lag_Ridge,1937,485,1.7465464230942107,2.3244898872712896,0.9080003012031308
问题一_空间时滞温度预测,5#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,1.7056817537442492,2.3008121127654744,0.9098650144580254
问题一_空间时滞温度预测,5#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,1.7489663672621003,2.340785496247261,0.9067058700317333
问题一_空间时滞温度预测,6#风箱平均温度,local_lag_Ridge,1937,485,2.2927692788388887,3.152894174350771,-0.32452976930894395
问题一_空间时滞温度预测,6#风箱平均温度,local_lag_GradientBoosting,1937,485,2.2096502621330276,3.0352310926745933,-0.22751401810890348
问题一_空间时滞温度预测,6#风箱平均温度,local_lag_RandomForest,1937,485,2.337871823462564,3.10587726994867,-0.28532074279731634
问题一_空间时滞温度预测,6#风箱平均温度,neighbor_lag_Ridge,1937,485,2.650179304738457,3.6654756163700863,-0.7902084601284716
问题一_空间时滞温度预测,6#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,2.3399300645710426,3.1919481640136627,-0.3575461282505801
问题一_空间时滞温度预测,6#风箱平均温度,neighbor_lag_RandomForest,1937,485,2.434273002352557,3.2686356167522264,-0.42356057846842043
问题一_空间时滞温度预测,6#风箱平均温度,global_lag_Ridge,1937,485,3.017535242027112,4.6241120408048975,-1.8490471214637418
问题一_空间时滞温度预测,6#风箱平均温度,global_lag_GradientBoosting,1937,485,2.205199684695519,3.0301068036216674,-0.22337276709408393
问题一_空间时滞温度预测,6#风箱平均温度,global_lag_RandomForest,1937,485,2.266121186555062,3.078888173744169,-0.26307973252658834
问题一_空间时滞温度预测,6#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.5558660760012111,0.9123426865157966,0.889093008256234
问题一_空间时滞温度预测,6#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.6093164903926281,0.9824816171750665,0.8713849467252985
问题一_空间时滞温度预测,6#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.6017171904347595,0.9691244565618523,0.874858302296273
问题一_空间时滞温度预测,7#风箱平均温度,local_lag_Ridge,1937,485,1.7991307094018523,2.6621915741630557,-0.14265363423531907
问题一_空间时滞温度预测,7#风箱平均温度,local_lag_GradientBoosting,1937,485,1.8029906115573475,2.7182262060479303,-0.19126172000987607
问题一_空间时滞温度预测,7#风箱平均温度,local_lag_RandomForest,1937,485,1.8781353844782398,2.7516763853268156,-0.22076117812220697
问题一_空间时滞温度预测,7#风箱平均温度,neighbor_lag_Ridge,1937,485,1.8006988269452613,2.6751302914833675,-0.1537876187875964
问题一_空间时滞温度预测,7#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,1.8210654374019184,2.705484315544665,-0.1801196375872769
问题一_空间时滞温度预测,7#风箱平均温度,neighbor_lag_RandomForest,1937,485,1.9145019177969311,2.790422563210125,-0.2553821407776691
问题一_空间时滞温度预测,7#风箱平均温度,global_lag_Ridge,1937,485,2.0264862866701496,3.071839619259327,-0.521363774638075
问题一_空间时滞温度预测,7#风箱平均温度,global_lag_GradientBoosting,1937,485,1.8555974768970516,2.657091111224488,-0.13827943396379339
问题一_空间时滞温度预测,7#风箱平均温度,global_lag_RandomForest,1937,485,1.8670888907954586,2.7165264474517183,-0.1897723485561711
问题一_空间时滞温度预测,7#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.340825234222287,0.8371990388190969,0.8869960984131781
问题一_空间时滞温度预测,7#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.47667012014471927,1.157924235823139,0.7838295711647136
问题一_空间时滞温度预测,7#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.424898853785689,1.1289334354563796,0.7945185283487577
问题一_空间时滞温度预测,8#风箱平均温度,local_lag_Ridge,1937,485,1.7864563455847169,3.0215581880043603,-0.030054091543421757
问题一_空间时滞温度预测,8#风箱平均温度,local_lag_GradientBoosting,1937,485,1.8018903906172328,3.0644689821927487,-0.059518555647826155
问题一_空间时滞温度预测,8#风箱平均温度,local_lag_RandomForest,1937,485,1.871848177903263,3.1226055811609483,-0.10010052129001279
问题一_空间时滞温度预测,8#风箱平均温度,neighbor_lag_Ridge,1937,485,1.8037305902839635,3.0297624855225145,-0.03565540240970955
问题一_空间时滞温度预测,8#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,1.7791042755115687,3.0491537587792084,-0.048954757853985065
问题一_空间时滞温度预测,8#风箱平均温度,neighbor_lag_RandomForest,1937,485,1.8659159817856659,3.1123923913002782,-0.09291603319857344
问题一_空间时滞温度预测,8#风箱平均温度,global_lag_Ridge,1937,485,2.0870542694820537,3.2449603248951338,-0.188001228199282
问题一_空间时滞温度预测,8#风箱平均温度,global_lag_GradientBoosting,1937,485,1.7499677811151806,3.001025555675056,-0.016102441140646295
问题一_空间时滞温度预测,8#风箱平均温度,global_lag_RandomForest,1937,485,1.7994301520581342,3.036321724922278,-0.04014451010434894
问题一_空间时滞温度预测,8#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.3867976491204273,1.1831869051972252,0.842055387650572
问题一_空间时滞温度预测,8#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.536474180020084,1.6294161787533428,0.7004549442213379
问题一_空间时滞温度预测,8#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.46380985791601886,1.5753709218542378,0.7199963083222514
问题一_空间时滞温度预测,9#风箱平均温度,local_lag_Ridge,1937,485,2.870155788386686,5.546701483274455,0.024746018834405303
问题一_空间时滞温度预测,9#风箱平均温度,local_lag_GradientBoosting,1937,485,2.9686360487406764,5.591915715190615,0.008781546021503273
问题一_空间时滞温度预测,9#风箱平均温度,local_lag_RandomForest,1937,485,2.977676432864502,5.599228310525396,0.0061874014759879525
问题一_空间时滞温度预测,9#风箱平均温度,neighbor_lag_Ridge,1937,485,2.778552478936123,4.842004701405573,0.2568122221497986
问题一_空间时滞温度预测,9#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,2.8873565140771005,5.472985912871537,0.05049598426758328
问题一_空间时滞温度预测,9#风箱平均温度,neighbor_lag_RandomForest,1937,485,2.9453708358281943,5.482144754642223,0.04731540470936102
问题一_空间时滞温度预测,9#风箱平均温度,global_lag_Ridge,1937,485,3.2011437977776636,5.78709669342193,-0.061621298509916045
问题一_空间时滞温度预测,9#风箱平均温度,global_lag_GradientBoosting,1937,485,3.0007178264351158,5.69021234768902,-0.02637270180935647
问题一_空间时滞温度预测,9#风箱平均温度,global_lag_RandomForest,1937,485,2.8308801931714136,5.344184625482074,0.09466136978993289
问题一_空间时滞温度预测,9#风箱平均温度,state_neighbor_lag_Ridge,1937,485,0.6932803274776089,1.9774164610864873,0.8760505980899476
问题一_空间时滞温度预测,9#风箱平均温度,state_neighbor_lag_GradientBoosting,1937,485,0.9291837806286829,2.9463063612181197,0.7248281826572591
问题一_空间时滞温度预测,9#风箱平均温度,state_neighbor_lag_RandomForest,1937,485,0.8930217713423106,2.87147815063632,0.7386279300347834
问题一_空间时滞温度预测,10#风箱平均温度,local_lag_Ridge,1937,485,6.2943354288220865,11.611172541916151,0.09872297164687238
问题一_空间时滞温度预测,10#风箱平均温度,local_lag_GradientBoosting,1937,485,6.53495586306434,11.742683186239201,0.07819123698800556
问题一_空间时滞温度预测,10#风箱平均温度,local_lag_RandomForest,1937,485,6.827469710901977,12.165481174672816,0.010616355968168123
问题一_空间时滞温度预测,10#风箱平均温度,neighbor_lag_Ridge,1937,485,6.3420711102975815,10.107040785786252,0.3171046098941941
问题一_空间时滞温度预测,10#风箱平均温度,neighbor_lag_GradientBoosting,1937,485,6.51289389995116,11.771413413834733,0.07367503342604109
问题一_空间时滞温度预测,10#风箱平均温度,neighbor_lag_RandomForest,1937,485,6.737277874606547,12.078769925098705,0.024670045746780334
问题一_空间时滞温度预测,10#风箱平均温度,global_lag_Ridge,1937,485,7.244877974702248,13.566476280440622,-0.23038283647704727
问题一_空间时滞温度预测,10#风箱平均温度,global_lag_GradientBoosting,1937,485,6.866835213362121,13.2027173781617,-0.16528672230295438
问题一_空间时滞温度预测,10#风箱平均温度,global_lag_RandomForest,1937,485,6.384749897113955,12.66411762239392,-0.07215114959410185
