变量,历史最小值,5%分位,中位数,95%分位,历史最大值
1#风箱负压,-14.057,-12.05685,-11.432500000000001,-10.824900000000001,-4.689
2#风箱负压,-14.023,-12.219700000000001,-11.695,-11.17015,-7.033
3#风箱负压,-13.155,-11.507,-11.24,-10.79215,-8.813
4#风箱负压,-13.483,-11.605,-11.336,-10.8962,-8.886
5#风箱负压,-13.483,-11.605,-11.336,-10.8962,-8.886
6#风箱负压,-16.941,-14.874,-14.252,-13.671,-11.984
7#风箱负压,-16.941,-14.874,-14.252,-13.671,-11.984
8#风箱负压,-16.951,-14.909,-14.281500000000001,-13.69315,-12.636
9#风箱负压,-16.951,-14.909,-14.281500000000001,-13.69315,-12.636
10#风箱负压,-16.852,-14.8137,-14.194500000000001,-13.601,-8.48
11#风箱负压,-16.852,-14.8137,-14.194500000000001,-13.601,-8.48
12#风箱负压,-16.836,-14.80385,-14.17,-13.56615,-5.918
13#风箱负压,-16.836,-14.80385,-14.17,-13.56615,-5.918
14#风箱负压,-16.652,-14.60185,-13.99,-10.070650000000002,-4.086
15#风箱负压,-16.652,-14.60185,-13.99,-10.070650000000002,-4.086
16#风箱负压,-16.453,-14.389100000000001,-13.600999999999999,-7.6446000000000005,-3.857
17#风箱负压,-16.133,-14.16,-13.3845,-6.407150000000003,-3.356
18#风箱负压,-14.005,-11.528,-11.149,-5.3512,-2.58
