风箱,中位CO工况,末端工况,高CO工况
1#风箱负压,-11.711478898293295,-11.38120727762138,-11.819549553159598
10#风箱负压,-14.122628288273974,-14.439818181835347,-14.690688622792326
11#风箱负压,-14.137861540887725,-14.245343026231335,-14.178420280509435
12#风箱负压,-13.983088889961117,-14.09706424189169,-14.292497952889974
13#风箱负压,-14.390381408596683,-13.972751680934984,-14.314869320315626
14#风箱负压,-14.257724050144988,-12.789456521631374,-14.174111833117404
15#风箱负压,-12.60855044738446,-13.181177061630864,-13.76852848749225
16#风箱负压,-13.307319080077376,-12.870211711979604,-13.27027417048028
17#风箱负压,-13.694314000094945,-11.142734058257934,-13.73881966819028
18#风箱负压,-11.07313176094031,-11.20386644949333,-11.256382244160651
2#风箱负压,-11.397463426038223,-11.32765797884599,-11.25803903504156
3#风箱负压,-11.100026299808912,-11.02392287792214,-11.39163441698466
4#风箱负压,-11.219474763608927,-10.930563139547347,-11.086769826563728
5#风箱负压,-11.163993597253182,-10.956143551678036,-10.92453030717599
6#风箱负压,-13.818487713208269,-14.059020135916771,-14.541870222891378
7#风箱负压,-14.02814870246945,-14.1488297681036,-14.353625011513412
8#风箱负压,-14.249865316832311,-13.823640077916616,-14.306306593632884
9#风箱负压,-14.029329529997728,-14.48120317445034,-14.859263305911698
